"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"MGST1",12465,16040,13225,27204,25689,17962
"MGST2",291,413,463,800,683,469
"MGST3",316,452,312,861,826,590
"MIB1",139,212,170,366,215,197
"MICAL1",67,44,68,21,28,17
"MICAL2",246,279,328,278,187,172
"MICAL3",319,349,328,356,381,249
"MICALCL",14,11,9,14,8,14
"MICB",5,5,5,1,10,4
"MICU1",202,194,229,197,210,167
"MID1",13,10,9,24,48,8
"MID1IP1",280,270,303,653,1284,615
"MID2",31,33,38,31,24,19
"MIDN",388,410,314,176,233,135
"MIEN1",214,206,208,286,278,222
"MIER1",720,664,651,776,662,419
"MIER2",97,70,119,109,105,86
"MIER3",195,170,199,187,168,94
"MIF",881,792,878,931,946,693
"MIF4GD",221,205,193,280,244,212
"MIIP",101,93,107,110,108,84
"MILR1",2,3,2,1,0,0
"MINA",57,66,70,111,74,70
"MINOS1",414,408,428,409,380,344
"MINPP1",414,743,334,223,221,317
"MIOS",146,129,123,172,157,98
"MIOX",92,152,149,70,120,103
"MIP",2,1,2,1,0,1
"MIPEP",418,464,413,559,542,350
"MIS12",66,72,59,68,90,64
"MIS18A",27,16,31,12,22,1
"MIS18BP1",58,64,65,35,31,24
"MITD1",106,112,91,70,60,44
"MITF",43,37,34,21,25,15
"MK1",680,797,810,942,901,652
"MKI67IP",361,395,324,311,253,232
"MKKS",199,235,212,247,222,242
"MKLN1",640,593,607,656,658,415
"MKNK1",151,156,137,159,145,116
"MKNK2",1653,1615,1894,1714,2108,1272
"MKRN1",197,166,179,221,234,178
"MKRN2",98,101,98,130,120,124
"MKS1",41,37,38,36,32,32
"MLC1",122,1,204,0,0,317
"MLEC",629,498,676,731,572,506
"MLF1",3,2,1,2,1,0
"MLF1IP",18,16,20,5,4,0
"MLF2",1330,1334,1390,1386,1367,1064
"MLH1",97,96,102,139,102,61
"MLH3",188,220,220,280,260,181
"MLLT1",234,200,224,300,242,210
"MLLT10",385,325,349,491,461,403
"MLLT11",18,15,10,12,14,10
"MLLT3",10,18,19,41,28,17
"MLLT4",809,841,850,912,912,702
"MLPH",10,1,6,1,1,4
"MLST8",169,188,166,225,240,185
"MLX",497,544,521,765,621,531
"MLYCD",590,637,592,999,913,756
"MMAA",101,108,123,175,137,108
"MMACHC",105,130,108,118,87,129
"MMADHC",460,450,457,579,512,397
"MMD",52,30,38,15,12,10
"MMD2",5,10,3,21,31,41
"MME",17,5,8,25,51,16
"MMGT1",412,417,490,679,658,519
"MMGT2",72,55,77,59,54,27
"MMP11",11,5,10,7,2,4
"MMP12",19,18,18,5,5,1
"MMP14",1022,957,908,985,632,792
"MMP15",204,192,258,507,395,285
"MMP16",35,31,20,53,59,23
"MMP17",63,38,41,49,60,25
"MMP19",623,645,812,829,809,679
"MMP2",611,368,435,239,310,146
"MMP20",7,2,1,0,0,0
"MMP23",75,42,43,12,16,12
"MMP28",17,10,15,4,3,3
"MMP3",3,3,0,1,0,0
"MMP7",6,2,3,1,0,0
"MMP8",16,4,6,0,3,4
"MMP9",15,13,14,6,4,0
"MMS22L",109,103,154,59,53,24
"MN1",9,6,7,5,5,7
"MNAT1",95,96,110,79,102,63
"MNS1",14,10,15,2,3,1
"MNT",409,413,330,149,140,174
"MOAP1",0,2,3,8,6,0
"MOB1A",775,519,626,407,415,342
"MOB1B",119,181,179,242,153,175
"MOB2",147,98,134,170,152,135
"MOB3A",282,245,237,96,98,54
"MOB3B",251,325,275,384,326,238
"MOB3C",26,11,21,12,26,15
